shelter_name,address,latitude,longitude,is_indoor,capacity,nearest_aqi_station,nearest_aqi_value,distance_to_station_km,risk_level,risk_reason,analysis_time
寶山國小,8鄰寶山路2段130號,24.74037021,121.022112,True,624,新竹,42,9.85,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
進士里鎮興廟,進士路53號,24.7414,121.7465,True,46,宜蘭,33,5.91,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
內湖國中,新竹市五福路一段12號,24.741924,120.911092,True,1110,新竹,42,9.81,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
內湖國小,新竹市香山區內湖路109號,24.74193,120.90696,True,1330,新竹,42,10.06,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
黎明里慶安廟,黎明路481巷11號,24.7427,121.7712,True,30,宜蘭,33,5.54,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
黎明社區活動中心,黎明路326號,24.744,121.776,True,35,宜蘭,33,5.71,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
壯五活動中心,壯圍鄉吉祥村壯五路63號,24.744488,121.789598,True,163,宜蘭,33,6.05,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
老人文康中心,文化路156號,24.745244,121.722886,True,28,宜蘭,33,7.55,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
國立宜蘭大學體育館,神農路一段1號,24.7453,121.7481,True,375,宜蘭,33,6.25,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大湖國小,新竹市香山區大湖里五福路一段530號,24.745728,120.933483,True,205,新竹,42,8.31,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
湖東社區活動中心,茄苳路68-2號,24.746017,121.708869,True,13,宜蘭,33,8.58,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
壯圍鄉公所,壯圍鄉壯志路1號,24.746835,121.785768,True,190,宜蘭,33,6.19,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大福補天宮,壯圍鄉大福村壯濱路6段279號,24.7469,121.7858,True,600,宜蘭,33,6.2,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
思源社區活動中心,泰山路七結巷9之10號,24.7482,121.7374,True,35,宜蘭,33,7.0,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
雙湖社區活動中心,隘界路131號,24.748286,121.68547,True,78,宜蘭,33,10.57,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
永興社區活動中心,7鄰39之3號,24.7483,121.1104,True,20,新竹,42,16.16,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
石潭社區活動中心,福昌街300巷47號,24.7484,121.1009,True,60,新竹,42,15.31,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
三聖宮,女中路一段148號,24.7488,121.766,True,85,宜蘭,33,6.23,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
復興國中群育館,復興路二段77號,24.7489,121.7476,True,212,宜蘭,33,6.64,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
永和社區活動中心,溫泉路62-1號,24.749471,121.711078,True,96,宜蘭,33,8.69,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
華龍村集會所,6鄰176之1號,24.7502,121.1398,True,20,新竹,42,18.78,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
五大社區活動中心,東港路二巷14弄21號,24.7504,121.7838,True,38,宜蘭,33,6.53,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
中華國中,女中路一段100號,24.7505,121.7669,True,420,宜蘭,33,6.42,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
國立宜蘭高中體育館,復興路三段8號,24.7511,121.7428,True,237,宜蘭,33,7.05,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
美城活動中心,壯圍鄉美城村永美路2段121號,24.7513,121.8017,True,155,宜蘭,33,7.22,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
黎明國小體育館,校舍路1號,24.7517,121.7643,True,108,宜蘭,33,6.57,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
社福大樓2樓,民權路一段65號,24.7526,121.7539,True,56,宜蘭,33,6.85,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
宜蘭國小活動中心,崇聖街2號,24.7532,121.7547,True,286,宜蘭,33,6.89,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
東嶽廟,中山路二段293號295號,24.7534,121.7526,True,350,宜蘭,33,6.97,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
南屏國小活動中心,泰山路98號,24.754,121.7426,True,231,宜蘭,33,7.36,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
中山國小五育館,崇聖街4號,24.754,121.7546,True,65,宜蘭,33,6.98,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
光復國小五育館,泰山路60號,24.7545,121.747,True,284,宜蘭,33,7.25,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
國立宜蘭高商四維堂,延平路50號,24.7549,121.7655,True,283,宜蘭,33,6.91,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
茄冬國小,新竹市香山區茄苳里茄苳路70號,24.755627,120.944631,True,1060,新竹,42,6.87,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
美福活動中心,壯圍鄉美福村美福路3段92巷6號,24.7569,121.791,True,60,宜蘭,33,7.41,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
玉山國小,4鄰赤柯山25號,24.7576,121.2087,True,280,新竹,42,25.14,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
中華大學,新竹市五福路二段707號,24.758944,120.954072,True,6770,新竹,42,6.25,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
碧霞宮,城隍街52號,24.7593,121.7511,True,48,宜蘭,33,7.64,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
過嶺活動中心,壯圍鄉過村壯濱路3段295號,24.759471,121.815365,True,66,宜蘭,33,8.68,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
